gin_id,tvwsi,tvwsi_resid,vh,ndvi,n_obs,rank_published,rank_controlled,rank_shift,area_ha,ecological_value,risk_of_development,corridor_type,target_width_m,priority,recommendation
107,0.0156138451914728,0.01979242631703951,0.04921033672041015,0.5186525772767214,4,66,83,-17,8.222278233614482,Moderate,Low,Local,60,,Riparian area for Ronson Cr. Provides connectivity to Fraser River. Runs through highly developed industrial area. Increase tree cover in riparian area. Improve wildlife passage under South Fraser Perimeter Road.
140,0.0222435072781301,0.01981634713309376,0.035046271054785576,0.696455998092834,4,95,84,11,18.86296798375011,Moderate,Moderate,Local,50,,"Edge buffer for ALR. Includes fragmented natural areas. Provides important edge habitat to ALR field habitat. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage at 80 Ave, 184 St and 188 St. Provide a movement corridor under Highway 10."
122,0.0164402354709032,0.019845767022504526,0.0476144364246016,0.6540567255566774,4,73,85,-12,10.436426144938467,Moderate,Moderate,Regional,60,,Riparian area for Leoran Brk. Fragmented patches of forest habitat. Includes one park. Provides one of few passages under Highway 1 and connectivity to Surrey Bend Park. Ensure passage under the South Fraser Perimeter road. Enhance ditch adjacent to this road. Protect land adjacent to riparian setback. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage at 179 St. Provide passage under the South Fraser Perimeter Road.
5,0.0179350877470867,0.01987501220499071,0.044553287883623574,0.8210938372160024,4,79,86,-7,1.10782916599423,Moderate,Low,Regional,50,,Riparian corridor mostly protected as park. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at Crescent Rd.
29,0.0231836816083875,0.020208179748868904,0.03389739680861538,0.7148831045156828,4,99,87,12,4.151318690573918,,,,30,,Edge buffer for ALR. Includes fragmented natural areas. Provides important edge habitat to ALR field habitat. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage along 32 Ave and at 176 St.
121,0.023310698911718476,0.020455874625401698,0.03416414737214154,0.7022637057227213,16,101,88,13,12.066795811443574,Moderate,Low,Local,50,,Hydro right of way. This area is mostly field habitat in the yards of residential neighbourhoods. It provides a continuous corridor throughout a landscape that is planed for infill development. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage for road crossings. Improve wildlife passage at Highway
57,0.0164424023897891,0.020531325477236195,0.049097596285893524,0.894567642378748,4,74,89,-15,1.4220964988659643,Moderate,Moderate,Regional,50,,Riparian area for Erickson Creek and partially forested area providing critical east to west connectivity across the ALR. Protect this area as a park through acquisition.
71,0.0196612937614603,0.020533011101823977,0.04222232106548765,0.8079808681081606,4,86,90,-4,10.769621237888462,Moderate,High,Regional,50,,Edge buffer for ALR. Includes fragmented natural areas. Provides connectivity between Joe Brown and Colebrook Parks. Provides important edge habitat to ALR field habitat. Establish and protect a forested corridor on perimeter of the ALR.
26,0.0245982748335768,0.020629611133244734,0.0318545419164252,0.5825648573238305,4,106,91,15,2.767265214554252,Low,High,Local,20,,"Fragmented natural areas through area that is planned for development. Follows planned greenways. Provides limited connectivity through developed neighbourhood. Naturalize edges of planned greenway. Traffic calming and signage at 24 Ave, 28 Ave and 164 St."
9,0.0195417152855319,0.020716776817461605,0.0428396590852238,0.8370990856135887,4,85,92,-7,2.898148488670587,Moderate,Moderate,Local,30,,Natural forest patches that connect Elgin Heritage Park and Elgin Creek Park. Partially protected as network of parks. Protect and enhance remaining natural areas. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossing at 144 St and Crescent Rd.
85,0.0169865354899477,0.020978536878978132,0.0488540532469146,0.8528617452434475,4,77,93,-16,6.683859080301919,Moderate,Low,Local,60,,Riparian area for creek. Mostly protected as park. Work with adjacent landowners to naturalize this area and remove barriers to movement.
4,0.0216654689330209,0.021152688121413483,0.03938627637875537,0.7740224074014314,4,91,94,-3,4.315800326370682,High,Moderate,Regional,50,,Foreshore riparian habitat at headwaters of the Nicomekl River. Mostly private land with fragmented patches protected as park. Connects Blackie Spit with Elgin Heritage Park. Work with adjacent landowners to naturalize private land and remove barriers to movement.
72,0.0255706863212777,0.021474199250755242,0.031602474999185975,0.6434152127523095,4,109,95,14,5.051742931498392,Moderate,Low,Local,50,,Hydro right of way. Highly developed with fragmented natural habitat. Numerous barriers to travel. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Install hedgerows along trails. Traffic calming and signage at road crossings. Provide wildlife passage at Highway 10.
10,0.0199688699405189,0.0215393971639583,0.043649500428809176,0.8680011407973343,4,87,96,-9,11.726095861402532,Moderate,Moderate,Regional,50,,Riparian Corridor along Elgin Cr. Mostly protected in network of parks. Connects Sunnyside Acres to Nicomekl foreshore. Work with adjacent landowners to naturalize private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage for crossings at 24 Ave. and 32 Ave and Crescent Rd.
80,0.0218301748914618,0.022323870154311806,0.041252503946286025,0.8272690828772333,4,93,97,-4,6.5698849589572434,Moderate,Moderate,Local,50,,Edge buffer for ALR. Includes fragmented natural areas. Provides important edge habitat to ALR field habitat. Connects to Fleetwood park. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage along 160 St.
30,0.0182980739636865,0.022506060361808296,0.049313609413943624,0.8740126678488858,4,81,98,-17,4.842332567109391,High,Moderate,Regional,30,,Edge buffer for ALR. Includes large natural forested habitat proposed for protection as Hub H. Provides important edge habitat to ALR field habitat. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage for crossings at 184 St.
119,0.0235692251287132,0.023007290423320472,0.0391587717223355,0.6976717964875159,4,103,99,4,7.056053443859033,Moderate,Moderate,Regional,50,,Edge buffer for ALR. Includes fragmented natural areas. Provides important edge habitat to ALR field habitat. Provides connectivity between proposed Hub A and Tynehead park. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage along 92 Ave.
118,0.0225662688343564,0.023399791058719425,0.041984741167588796,0.8221531830811928,4,96,100,-4,3.7276307312542967,Moderate,Moderate,Regional,60,,Riparian area for creek. Highly impacted from residential development. Provides connectivity from the Serpentine to Tynehead Regional Park. Protect and enhance land adjacent to riparian setback. Traffic calming and signage along 96 Ave.
51,0.0286493075433645,0.024037489627180705,0.030425568292629726,0.7062035881134188,4,114,101,13,7.358826156791944,Moderate,Moderate,Local,60,,Riparian corridor for Twins Creek. Highly disturbed riparian area with fragmented natural areas. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Protect land adjacent to riparian setback. Traffic calming and signage at 184 St and 16 Ave.
114,0.0220783529335478,0.024049430574452028,0.04452522239760185,0.8491512581300603,4,94,102,-8,1.424772779852798,High,Moderate,Local,60,,Riparian area for creek. Mostly forested. Provides habitat for species at risk. Restore and enhance riparian habitat. Traffic calming and signage along 102 Ave.
7,0.0211045607202535,0.024521963736466,0.047581805587781925,0.8720467536897413,4,90,103,-13,8.206507413727435,High,Low,Regional,50,,"Linear network of protected natural areas. Connects Sunnyside Acres, Dogwood and Crescent Parks. Work with adjacent landowners to naturalize private land and remove barriers to movement. Traffic calming and signage for crossing at 140 St. Enhance the narrow corridor between 140 St and 139A St."
61,0.0319868476148799,0.024609148103206784,0.024449133695351524,0.6630116731586144,4,119,104,15,84.87087993106843,High,Moderate,Regional,60,,Riparian corridor for the Nicomekl River. This entire reach is dyked for flood control. This riparian area provides one of the only feasible corridors running through the ALR. Enhance riparian habitat within 30m of river by planting tree and shrub cover. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Improve wildlife passage at Highway 99 and Highway 15. Traffic calming and signage at all arterial roads.
81,0.0262236982819839,0.024676111873039124,0.03704757445967957,0.5938113179077875,4,110,105,5,0.5968176894863337,Moderate,High,Local,15,,Greenway to be established through redevelopment. Provides connectivity west from Fleetwood Park. Retain mature trees where possible and naturalize edges of planned greenway.
112,0.0238237128652715,0.025176321350963343,0.04329450645349035,0.8088931844843538,4,104,106,-2,52.43782141980537,High,Low,Regional,100,,Forested natural area following the escarpment above South Fraser Perimeter road. Relatively steep with gullies. Includes Port Mann park and old land fill site. Mostly protected or unstable for development. Provides wildlife refuge areas and connects Surrey Bend west to Invegrarry Park. Enhance old landfill site to expand on forested community. Consider strategic fencing to direct wildlife to underpass under the South Fraser Perimeter road connecting to Surrey Bend Park.
117,0.02659436946308215,0.025526248977634322,0.03792756118771995,0.8008655492555301,8,111,107,4,1.8315088443178875,High,Low,Regional,60,,Riparian corridor for Class A watercourse that provides southern connection to Tynehead Regional Park.
31,0.0233045083949162,0.025807580067417495,0.0456641424113285,0.8698131766038026,4,100,108,-8,6.624737327431787,High,High,Regional,50,,Natural forested areas in low density residential area. Planned for redevelopment. Establish forested corridor that will provide safe wildlife movement between Redwood Park and proposed Hub H. Traffic calming and signage for crossings at 24 Ave and 20 Ave.
141,0.0255071540394805,0.026019006676547867,0.04133897604463342,0.7577884625491724,8,108,109,-1,13.108027310940049,Low,High,Local,60,,"This corridor includes a mix of riparian, forested natural areas and low density residential development. Follows planned greenways. Provides limited connectivity through developed neighborhood. Naturalize edges of planned greenway. Traffic calming and signage at 72 Ave, 76 Ave. Provide a movement corridor under Fraser Highway."
139,0.0268691618009785,0.027041057447503347,0.040569296636549526,0.8190296151617434,4,112,110,2,4.763106300914547,Moderate,High,Local,60,,"Fragmented natural forested areas running through low density residential neighborhood. Greenway has been established through re-development. Provides connectivity between Hub C and the ALR. Enhances connectivity of corridors 90 and 88. This area supports habitat for Species at Risk. Traffic calming and signage for crossings at 184 and 188 Streets. Ensure a safe, naturalized interface with 78 Ave which is planned to be developed within or adjacent to this greenway."
19,0.03218015083018355,0.027200962657728374,0.029661186275346814,0.5931460896613066,8,121,111,10,1.8585581509677755,Low,Low,Local,30,,Hydro right of way adjacent to Hwy 99. Establish hedgerows and shrub pockets. Create wetlands in lowland areas. Traffic calming and signage at 32 Ave.
137,0.0230765622007902,0.027324955437411216,0.04932058906266605,0.8717428686274082,4,98,112,-14,2.963398072502165,Low,High,Local,30,,This corridor is highly impacted by residential development. Follows planned greenways. Provides limited connectivity through developed neighbourhood. Naturalize edges of planned greenway. Traffic calming and signage at road crossings. Traffic calming and signage at 192 St.
116,0.0245005864741286,0.027473462376517266,0.04664318402360132,0.8032889851236156,4,105,113,-8,3.053799960175613,High,Moderate,Regional,60,,Riparian area for upper reach of Serpentine River. Field habitat extends into riparian area. Protect land adjacent to riparian setback and restore tree cover.
34,0.0270102898731936,0.027473703216630344,0.04127858120095205,0.8236567938819841,4,113,114,-1,11.76991953098988,High,High,Regional,100,,Riparian corridor within proposed Hub F. Supports species at risk. Enhance/expand riparian habitat. Traffic calming and signage for crossings at 16 Ave and 168 St.
99,0.0317445126059414,0.0281740802510637,0.03269661550961723,0.5798065249940745,4,118,115,3,8.222756365821013,Moderate,Moderate,Local,50,,Hydro right of way. This area is mostly field habitat in the yards of residential neighbourhoods. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage at 108 Ave.
74,0.032107594501341,0.029140684885592592,0.03401625881267152,0.5571566034627135,4,120,116,4,22.054331971074316,Moderate,Low,Local,50,,"Hydro right of way. Highly developed with fragmented natural habitat. Some greenways exist. Numerous barriers to travel. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Install hedgerows along trails. Traffic calming and signage at 80 Ave, 76 Ave, 72 Ave, 68 Ave and 64 Ave. Provide wildlife passage at Highway 10."
115,0.035591346474588,0.029174814405865633,0.026599641508786825,0.5673460815943069,4,122,117,5,6.7203110983731,Low,Low,Local,30,,"This is a greenway that runs through highly developed neighbourhoods. Mostly mowed grass with few natural features. Provides the only available continuous connectivity east to west from Green Timbers Park to Tynehead Park. Establish hedgerows and shrub pockets along fencelines. Create wetlands in lowland areas. Traffic calming and signage at 152 St, 156 St, and 160 St."
108,0.0127883830839806,0.02936080468428125,0.07596976536832957,0.5351482546862552,4,50,118,-68,5.76487234601392,Moderate,Low,Local,60,,Riparian area for Scott Cr. Provides connectivity to Fraser River. Runs through highly developed industrial area. Increase tree cover in riparian area. Improve wildlife passage under South Fraser Perimeter Road.
88,0.036223771144181,0.03017945626768241,0.0276178020715431,0.6974348385598674,4,123,119,4,1.484398437655167,Moderate,Moderate,Local,50,,Hydro right of way. Partially protected as park. It provides a continuous corridor throughout an established neighbourhood. Work with adjacent landowners to naturalize this area and remove barriers to movement. Create wetlands in lowland areas. Traffic calming and signage at 132 St.
35,0.0298275117043574,0.03020747273242298,0.041227148180356,0.6971928357424227,4,115,120,-5,9.59144264280788,High,High,Regional,100,,Riparian corridor within proposed Hub F. Supports species at risk. Enhance/expand riparian habitat. Traffic calming and signage for crossings at 16 Ave.
54,0.0229027349800468,0.03052995347882111,0.05675633148132575,0.6814997125628821,4,97,121,-24,11.982313866666647,Moderate,Moderate,Regional,100,,Edge buffer for ALR. Runs through a large patch of young forest with scattered fields. Established and protect a forested corridor on perimeter of the ALR. Traffic calming and signage along 20 Ave and 24 Ave.
120,0.0313160834777258,0.032113119950849575,0.042125304196841476,0.8044481104082803,4,116,122,-6,3.4811910016353695,High,High,Local,50,,Large forested site fragmented by low density residential development. Area is planned for development. Follows planned greenways and parks. Provides connectivity between the ALR and Tynehead Park. Naturalize edges of planned greenways. Traffic calming and signage at 96 Ave.
98,0.0392745363611839,0.03281832135944475,0.0265533107260768,0.5838206036324461,4,125,123,2,5.364401082625064,Moderate,Moderate,Regional,50,,"Hydro right of way including mostly residential yards. Provides connectivity through highly developed neighbourhood between Green Timbers Park and Hawthorne Park. Establish hedgerows and shrub pockets. Create wetlands in lowland areas. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossing at 104 Ave, 140 St and 100 Ave."
97,0.0367456179780164,0.035281700437414416,0.03766704597734725,0.4077174648580146,4,124,124,0,0.6134110226922918,Moderate,High,Regional,50,,This is a short but important connection between Green Timbers and the Hydro right of way corridor. Work to establish a naturalized connection in this vicinity. Traffic calming and signage for crossing 140 St and 100 Ave.
125,0.0316467506066886,0.03643984590103363,0.0505436232721262,0.9003251033673354,4,117,125,-8,2.4421059134256016,High,Moderate,Regional,50,,Edge buffer to ALR. Large forested natural area. Runs through proposed Hub A. Established and protect a forested corridor.
65,0.052196734108014,0.04448108793003806,0.023827537258430127,0.6101441181067053,4,128,126,2,157.79901139459255,High,Low,Regional,60,,"Riparian corridor for the Serpentine River. This entire reach is dyked for flood control. This riparian area provides one of the only feasible corridors running through the ALR. Enhance riparian habitat within 30m of river by planting tree and shrub cover. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Improve wildlife passage at Highway 99, King George Blvd, Hwy 10, Fraser Hwy, Highway 15. Traffic calming and signage at all arterial roads."
110,0.0453038489329263,0.04498076985150985,0.0399226161218122,0.3736711746440349,4,126,127,-1,5.948426449066942,Moderate,Moderate,Regional,50,,Fragmented natural areas and parks along slope break. Provides connectivity east to west above highly developed industrial area. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage at River Road.
3,0.056967008427723,0.04929303547144316,0.0242420981887079,0.3221782397677512,4,130,128,2,0.7315435772109338,Low,Low,Local,10,,Foreshore beach area that is highly impacted by recreation. Connects Blackie Spit to additional foreshore habitat. Fence off and restore native foreshore plant communities in certain areas. Install hedgerow corridor along greenway.
23,0.05135991820421655,0.05213699698786091,0.04218681091122228,0.4394692365637838,8,127,129,-2,3.170381108997642,Low,Low,Local,20,,Greenway adjacent to Hwy 99. Provides only continuous movement corridor north to south through highly developed neighbourhoods. Install highway fencing. Traffic calming and signage along all adjacent and intersecting roadways. Improve wildlife passage under 24 Ave.
33,0.0692348806524619,0.06476214144486386,0.030905477707759102,0.3407350309924013,4,131,130,1,1.5568591636290718,,,,50,,Edge buffer for ALR. Highly disturbed area through low density residential area. Runs adjacent to 168 St. Provides important edge habitat to ALR field habitat. Expand on existing hedgerow and protect a forested corridor adjacent to 168 St. Work with adjacent landowners to naturalize adjacent private land and remove barriers to movement. Traffic calming and signage for crossings along 168 St.
124,0.0559496176380997,0.06714197250495672,0.06428055309794953,0.4119316307624756,4,129,131,-2,11.993074047451838,High,High,Regional,50,,Foreshore riparian area to Fraser River. Highly impacted by industrial development. Explore opportunities to restore this riparian area.
